"Time,Name,Club,Date,Place"
"19:40.1 Eduardo José de Sousa fpn 02.09.60 Roma"
"19:26.8 António Bessone Basto fpn 08.08.63 Rio de Janeiro"
"19:25.4 António Botelho de Melo apdm 12.04.73 Luanda"
"19:05.3 Henrique Carvalho Vicêncio slb 25.07.73 Lisboa – Olivais"
"18:31.6 António Botelho de Melo gdlm 18.08.73 Coimbra"
"18:29.9 José Guilherme Loureiro cdna 11.03.74 Luanda"
"18:25.3 Paulo José Frischknecht sad 05.07.74 Lisboa – Olivais"
"18:19.9 António Botelho de Melo gdlm 10.08.74 Lisboa – Olivais"
"18:11.7 Paulo José Frischknecht anl 16.08.74 Lisboa – Olivais"
"17:41.9 Paulo José Frischknecht sad 20.07.75 Lisboa – Olivais"
"17:39.95 António Botelho de Melo fpn 10.08.75 Genebra"
"17:34.8 António Botelho de Melo cac 22.08.75 Coimbra"
"17:24.31 António Botelho de Melo fpn 19.07.76 Montréal"
"17:17.94 José Baltar Leite fpn 20.05.77 Mulhouse"
"17:15.53 Paulo José Frischknecht sad 07.08.77 Coimbra"
"16:41.54 José Baltar Leite fpn 19.08.77 Jönkoping"
"16:38.90 José Baltar Leite cfp 06.08.78 Lisboa – Olivais"
"16:26.96 José Baltar Leite fpn 24.08.78 Berlim Ocidental"
"16:20.95 José Baltar Leite fpn 08.04.79 Rio de Janeiro"
"16:17.52 José Baltar Leite fpn 20.04.80 Madrid"
"16:16.91 José Baltar Leite fpn 26.04.80 Nancy"
"16:13.94 José Baltar Leite fpn 16.06.80 Bratislava"
"16:08.76 Artur Manuel Costa fpn 03.05.87 Buenos Aires"
"16:05.9 Artur Manuel Costa scp 17.07.87 Lisboa – Olivais"
"15:53.21 Artur Manuel Costa fpn 22.08.87 Estrasburgo"
"15:50.23 Artur Manuel Costa fpn 11.08.90 Roma"
"15:39.73 Artur Manuel Costa fpn 02.12.90 Indianapolis"
"15:35.98 Artur Manuel Costa fpn 21.07.91 Sheffield"
"15:34.51 Fernando Eurico Costa lsc 24.01.03 Luxemburgo"
"15:21.94 Fernando Eurico Costa fpn 25.04.04 Dunquerque"
"15:21.35 Fernando Eurico Costa lsc 26.07.07 Aveiro"
"15:16.22 Fernando Eurico Costa fpn 14.08.07 Banguecoque"
"15:15.12 Guilherme Filipe Pina scp 30.03.17 Coimbra"
