,Time,Name,Date
0,5:15.6,Gary Heinrich,27 August 1957
1,5:12.9,Vladimir Strushanov,20 October 1957
2,5:08.8,Ian Black,6 June 1959
3,5:07.8,George Harrison,24 June 1960
4,5:05.3,George Harrison,24 June 1960
5,5:04.5,Dennis Rounsaville,22 July 1960
6,5:04.3,Ted Stickles,1 July 1961
7,4:55.6,Ted Stickles,18 August 1961
8,4:53.8,Gerhard Hetz,24 May 1962
9,4:51.4,Ted Stickles,30 June 1962
10,4:51.0,Ted Stickles,12 July 1962
11,4:50.2,Gerhard Hetz,12 October 1963
12,4:48.6,Dick Roth,31 July 1964
13,4:45.4,Dick Roth,14 October 1964
14,4:45.3,Andrei Dunayev,3 April 1968
15,4:45.1,Greg Buckingham,6 July 1968
16,4:43.4,"Gary Hall, Sr.",20 July 1968
17,4:43.3,Charlie Hickcox,30 August 1968
18,4:39.0,Charlie Hickcox,30 August 1968
19,4:38.7,"Gary Hall, Sr.",11 July 1969
20,4:33.9,"Gary Hall, Sr.",15 August 1969
21,4:31.0,"Gary Hall, Sr.",21 August 1970
22,4:30.81,"Gary Hall, Sr.",3 August 1972
23,4:28.89,AndrÃ¡s Hargitay,20 August 1974
24,4:26.00,ZoltÃ¡n VerrasztÃ³,2 April 1976
25,4:23.68,Rod Strachan,25 July 1976
26,4:23.39,Jesse Vassallo,4 August 1978
27,4:20.05,Jesse Vassallo,28 August 1978
28,4:19.78,Ricardo Prado,8 August 1982
29,4:19.61,Jens-Peter Berndt,23 May 1984
30,4:17.53,Alex Baumann,17 June 1984
31,4:17.41,Alex Baumann,30 July 1984
32,4:16.12,David Wharton,14 August 1987
33,4:15.42,TamÃ¡s Darnyi,19 August 1987
34,4:14.75,TamÃ¡s Darnyi,21 September 1988
35,4:12.36,TamÃ¡s Darnyi,8 January 1991
36,4:12.30,Tom Dolan,11 September 1994
37,4:11.76,Tom Dolan,17 September 2000
38,4:11.09,Michael Phelps,15 August 2002
39,4:10.73,Michael Phelps,7 April 2003
40,4:09.09,Michael Phelps,27 July 2003
41,4:08.41,Michael Phelps,7 July 2004
42,4:08.26,Michael Phelps,14 August 2004
43,4:06.22,Michael Phelps,1 April 2007
44,4:05.25,Michael Phelps,29 June 2008
45,4:03.84,Michael Phelps,10 August 2008
