,Time,Name,Nationality,Date
0,1:05.8,Zoltán Halmay,Hungary,3 Dec 1905
1,1:05.6,Charles Daniels,United States,20 jul. 1908
2,1:02.8,Charles Daniels,United States,15 Apr 1910
3,1:02.4,Kurt Bretting,Germany,6 Apr 1912
4,1:01.6,Duke Kahanamoku,United States,20 jul. 1912
5,1:01.4,Duke Kahanamoku,United States,9 Aug 1918
6,1:00.4,Duke Kahanamoku,United States,24 Aug 1920
7,58.6,Johnny Weissmuller,United States,9 jul. 1922
8,57.4,Johnny Weissmuller,United States,17 Feb 1924
9,56.8,Peter Fick,United States,2 mar. 1934
10,56.6,Peter Fick,United States,5 mar. 1935
11,56.4,Peter Fick,United States,11 Feb 1936
12,55.9,Alan Ford,United States,13 Apr 1944
13,55.8,Alex Jany,France,15 Sep 1947
14,55.4,Alan Ford,United States,29 jun. 1948
15,54.8,Dick Cleveland,United States,1 Apr 1954
16,55.4,Jon Henricks,Australia,30 nov. 1956
17,55.2,John Devitt,Australia,19 jan. 1957
18,54.6,John Devitt,Australia,28 jan. 1957
19,54.4,Steve Clark,United States,18 Aug 1961
20,53.6,Manuel dos Santos,Brazil,20 Sep 1961
21,52.9,Alain Gottvallès,France,13 Sep 1964
22,52.9,Steve Clark,United States,14 Oct 1964
23,52.6,Ken Walsh,United States,27 jul. 1967
24,52.6,Zac Zorn,United States,2 Sep 1968
25,52.2,Michael Wenden,Australia,19 Oct 1968
26,51.94,Mark Spitz,United States,23 Aug 1970
27,51.47,Mark Spitz,United States,5 Aug 1972
28,51.22,Mark Spitz,United States,3 Sep 1972
29,51.12,Jim Montgomery,United States,21 jun. 1975
30,51.11,Andy Coan,United States,3 Aug 1975
31,50.59,Jim Montgomery,United States,23 Aug 1975
32,50.39,Jim Montgomery,United States,24 jul. 1976
33,49.99,Jim Montgomery,United States,25 jul. 1976
34,49.44,Jonty Skinner,South Africa,14 Aug 1976
35,49.36,Rowdy Gaines,United States,3 Apr 1981
36,49.24,Matt Biondi,United States,6 Aug 1985
37,48.95,Matt Biondi,United States,6 Aug 1985
38,48.74,Matt Biondi,United States,24 jun. 1986
39,48.42,Matt Biondi,United States,10 Aug 1988
40,48.21,Alexander Popov,Russia,18 jun. 1994
41,48.18,Michael Klim,Australia,16 Sep 2000
42,47.84,Pieter van den Hoogenband,Netherlands,19 Sep 2000
43,47.60,Alain Bernard,France,21 mar. 2008
44,47.50,Alain Bernard,France,22 mar. 2008
45,47.24,Eamon Sullivan,Australia,11 Aug 2008
46,47.20,Alain Bernard,France,13 Aug 2008
47,47.05,Eamon Sullivan,Australia,13 Aug 2008
48,46.94,Alain Bernard,France,23 Apr 2009
49,46.91,C�sar Cielo,Brazil,30 jul. 2009
50,46.86,David Popovici,Romenia,12 Aug. 2022
