,Time,Name,Date
0,3:09.20,Frederick Holman,"July 18, 1908"
1,3:08.30,Robert Andersson,"April 18, 1909"
2,3:00.80,FÃ©licien Courbet,"October 2, 1910"
3,2:56.60,Percy Courtman,"July 28, 1914"
4,2:54.40,Erich Rademacher,"November 12, 1922"
5,2:52.60,Bob Skelton,"March 21, 1924"
6,2:50.40,Erich Rademacher,"April 7, 1924"
7,2:48.00,Erich Rademacher,"March 11, 1927"
8,2:45.00,Yoshiyuki Tsuruta,"July 27, 1929"
9,2:44.60,Lionel Spence,"April 2, 1931"
10,2:44.00,Lionel Spence,"April 1, 1932"
11,2:42.60,Jacques Cartonnet,"February 8, 1933"
12,2:42.40,Erwin Sietas,"March 16, 1935"
13,2:39.60,Jacques Cartonnet,"May 4, 1935"
14,2:37.20,Jack Kasley,"March 28, 1936"
15,2:36.80,Alfred Nakache,"July 6, 1941"
16,2:36.30,Joe Verdeur,"July 10, 1948"
17,2:35.60,Joe Verdeur,"April 5, 1946"
18,2:35.00,Joe Verdeur,"February 15, 1947"
19,2:34.40,Herbert Klein,"August 13, 1950"
20,2:34.40,John Davies,"August 1, 1952"
21,2:32.00,Joe Verdeur,"February 14, 1948"
22,2:30.50,Joe Verdeur,"April 2, 1948"
23,2:30.00,Joe Verdeur,"June 28, 1948"
24,2:28.30,Joe Verdeur,"March 31, 1950"
25,2:27.30,Herbert Klein,"June 9, 1951"
26,2:37.40,Knud Gleie,"February 14, 1953"
27,2:36.60,Masaru Furukawa,"April 10, 1954"
28,2:35.40,Masaru Furukawa,"April 10, 1954"
29,2:35.20,Mamoru Tanaka,"September 17, 1954"
30,2:33.70,Masaru Furukawa,"August 5, 1955"
31,2:31.00,Masaru Furukawa,"October 1, 1955"
32,2:36.50,Terence Gathercole,"June 28, 1958"
33,2:33.60,Chet Jastremski,"July 28, 1961"
34,2:29.60,Chet Jastremski,"August 19, 1961"
35,2:28.20,Chet Jastremski,"August 30, 1964"
36,2:27.80,Ian O'Brien,"October 15, 1964"
37,2:27.40,Vladimir Kosinsky,"April 3, 1968"
38,2:26.50,Nikolai Pankin,"March 22, 1969"
39,2:25.40,Nikolai Pankin,"April 19, 1969"
40,2:23.50,Brian Job,"August 22, 1970"
41,2:22.79,John Hencken,"August 5, 1972"
42,2:21.55,John Hencken,"September 2, 1972"
43,2:20.52,John Hencken,"August 24, 1973"
44,2:19.28,David Wilkie,"September 6, 1973"
45,2:18.93,John Hencken,"August 24, 1974"
46,2:18.21,John Hencken,"September 1, 1974"
47,2:15.11,David Wilkie,"July 24, 1976"
48,2:14.77,Victor Davis,"August 5, 1982"
49,2:14.58,Victor Davis,"June 17, 1984"
50,2:13.34,Victor Davis,"August 2, 1984"
51,2:12.90,Mike Barrowman,"August 4, 1989"
52,2:12.90,Nick Gillingham,"August 19, 1989"
53,2:12.89,Mike Barrowman,"August 20, 1989"
54,2:11.53,Mike Barrowman,"July 20, 1990"
55,2:11.23,Mike Barrowman,"January 11, 1991"
56,2:10.60,Mike Barrowman,"August 13, 1991"
57,2:10.16,Mike Barrowman,"July 29, 1992"
58,2:09.97,Kosuke Kitajima,"October 2, 2002"
59,2:09.52,Dimitri Komornikov,"June 15, 2003"
60,2:09.42,Kosuke Kitajima,"July 24, 2003"
61,2:09.04,Brendan Hansen,"July 11, 2004"
62,2:08.74,Brendan Hansen,"August 5, 2006"
63,2:08.50,Brendan Hansen,"August 21, 2006"
64,2:07.51,Kosuke Kitajima,"June 8, 2008"
65,2:07.31,Christian Sprenger,"July 30, 2009"
66,2:07.28,DÃ¡niel Gyurta,"August 1, 2012"
67,2:07.01,Akihiro Yamaguchi,"September 15, 2012"
68,2:06.67,Ippei Watanabe,"January 29, 2017"
69,2:06.67,Matthew Wilson,"July 25, 2019"
70,2:06.12,Anton Chupkov,"July 26, 2019"
71,2:05.95,Zac Stubblety-Cook,"May 19, 2022"
