,Time,Name,Club,Date
0,0:25.70,Ricardo Jorge Coxo,fpn,17.07.99
1,0:25.27,Simao Gomes Morgado,fpn,26.07.99
2,0:25.27,Simao Gomes Morgado,fpn,27.05.00
3,0:25.04,Ricardo Jorge Coxo,fpn,30.07.00
4,0:24.91,Ricardo Jorge Coxo,sfuap,20.05.01
5,0:24.91,Ricardo Jorge Coxo,sfuap,15.03.02
6,0:24.64,Ricardo Jorge Coxo,fpn,13.04.02
7,0:24.60,Simao Gomes Morgado,fpn,29.07.02
8,0:24.38,Simao Gomes Morgado,fpn,29.07.02
9,0:24.05,Simao Gomes Morgado,fpn,31.07.06
10,0:24.03,Simao Gomes Morgado,cna,27.03.09
11,0:23.97,Simao Gomes Morgado,fpn,05.04.09
12,0:23.75,Simao Gomes Morgado,fpn,05.04.09
13,0:23.72,Simao Gomes Morgado,fpn,05.04.09
14,0:23.69,Diogo Matos Ribeiro,slb,03.04.22
15,0:23.54,Diogo Matos Ribeiro,slb,03.04.22
16,0:23.28,Diogo Matos Ribeiro,fpn,19.04.22
17,0:23.24,Diogo Matos Ribeiro,fpn,11.08.22
18,0:23.18,Diogo Matos Ribeiro,fpn,11.08.22
19,0:23.07,Diogo Matos Ribeiro,fpn,12.08.22
20,0:22.96,Diogo Matos Ribeiro,fpn,04.09.22
