,Time,Name,Club,Date
0,1:00.2,Herlander Felga Ribeiro,fpn,26.08.60
1,0:59.8,Herlander Felga Ribeiro,fpn,08.08.63
2,0:59.0,Herlander Felga Ribeiro,fpn,12.10.64
3,0:59.0,Herlander Felga Ribeiro,fpn,30.07.69
4,0:58.5,Jose Gomes Pereira,sad,26.08.73
5,0:58.2,Jose Gomes Pereira,fpn,15.04.74
6,0:57.8,Jose Gomes Pereira,sad,11.08.74
7,0:56.9,Jose Gomes Pereira,fpn,22.08.74
8,0:56.9,Paulo Jose Frischknecht,sad,21.08.75
9,0:56.38,Paulo Jose Frischknecht,fcp,24.01.76
10,0:55.46,Jose Gomes Pereira,fpn,24.07.76
11,0:55.2,Jose Gomes Pereira,sad,12.08.76
12,0:55.16,Paulo Jose Frischknecht,sad,06.08.77
13,0:54.66,Paulo Jose Frischknecht,fpn,16.08.77
14,0:53.89,Rui Pinto Abreu,fpn,20.08.77
15,0:53.70,Rui Pinto Abreu,fpn,22.01.78
16,0:53.63,Rui Pinto Abreu,fpn,27.03.78
17,0:53.60,Rui Pinto Abreu,fpn,17.06.78
18,0:53.27,Rui Pinto Abreu,fpn,22.08.78
19,0:53.13,Rui Pinto Abreu,fpn,27.05.79
20,0:52.85,Rui Pinto Abreu,fpn,26.07.80
21,0:52.7,Mabilio Antonio Albuquerque,fpn,03.04.88
22,0:52.50,Paulo Manuel Trindade,fpn,05.08.93
23,0:52.06,Nuno Filipe Laurentino,sad,24.01.98
24,0:51.46,Nuno Filipe Laurentino,sad,09.01.99
25,0:51.33,Nuno Filipe Laurentino,fpn,10.04.99
26,0:51.22,Nuno Filipe Laurentino,sad,27.07.00
27,0:49.76,Nuno Filipe Laurentino,sad,10.05.02
28,0:49.59,Tiago Andre Venancio,fpn,15.07.04
29,0:49.50,Alexandre Escudier Agostinho,fpn,29.07.09
30,0:49.04,Miguel Duarte Nascimento,slb,20.12.20
31,0:48.96,Diogo Matos Ribeiro,slb,31.03.22
32,0:48.72,Diogo Matos Ribeiro,slb,31.03.22
33,0:48.52,Diogo Matos Ribeiro,fpn,12.08.22
