,Time,Name,Club,Date
0,1:27.3,Jose Antonio Bacelar,sclm,30.08.58
1,1:25.1,Vasco Ramos Cruz,sad,03.09.67
2,1:24.1,Jose Manuel Conceicao,sad,03.09.67
3,1:21.7,Vitor Gama Cerqueira,gdlm,03.09.67
4,1:20.9,Vitor Gama Cerqueira,gdlm,18.08.68
5,1:19.6,Jose Luis Nunes,cfp,25.08.68
6,1:19.1,Vitor Gama Cerqueira,fpn,20.07.69
7,1:18.1,Jose Luis Nunes,cdna,15.03.70
8,1:17.8,Jose Luis Nunes,apda,29.03.70
9,1:16.3,Jose Luis Nunes,cdna,07.01.71
10,1:15.5,Carlos Alberto Oliveira,fpn,27.07.72
11,1:15.1,Carlos Alberto Oliveira,gdlm,20.08.72
12,1:14.6,Carlos Alberto Oliveira,apdm,15.04.73
13,1:14.0,Carlos Alberto Oliveira,gdlm,26.08.73
14,1:13.8,Henrique Carvalho Vicencio,fpn,18.01.75
15,1:13.55,Henrique Carvalho Vicencio,fpn,19.07.76
16,1:11.53,Jaime Sarabando Fidalgo,fpn,06.04.79
17,1:11.00,Jaime Sarabando Fidalgo,sad,06.08.79
18,1:10.92,Jaime Sarabando Fidalgo,fpn,18.04.80
19,1:10.33,Alexandre Felske Yokochi,fpn,05.07.80
20,1:10.03,Alexandre Felske Yokochi,fpn,14.02.81
21,1:08.95,Alexandre Felske Yokochi,fpn,23.04.81
22,1:08.3,Alexandre Felske Yokochi,slb,08.08.81
23,1:07.44,Alexandre Felske Yokochi,fpn,15.04.82
24,1:07.14,Alexandre Felske Yokochi,fpn,15.04.83
25,1:06.15,Alexandre Felske Yokochi,fpn,06.08.85
26,1:05.66,Alexandre Felske Yokochi,fpn,18.09.88
27,1:05.59,Alexandre Felske Yokochi,fpn,15.08.89
28,1:05.37,Jose Guilherme Couto,fpn,19.07.95
29,1:03.95,Jose Guilherme Couto,fpn,19.08.97
30,1:02.78,Jose Guilherme Couto,fpn,19.08.97
31,1:02.73,Jose Guilherme Couto,fpn,19.08.97
32,1:02.50,Jose Guilherme Couto,fpn,03.07.00
33,1:02.50,Jose Guilherme Couto,fpn,23.07.01
34,1:02.17,Jose Guilherme Couto,fpn,23.07.01
35,1:02.13,Carlos Esteves Almeida,fpn,24.07.11
36,1:01.68,Carlos Esteves Almeida,cna,02.12.11
37,1:01.44,Carlos Esteves Almeida,cna,02.12.11
38,1:01.19,Carlos Esteves Almeida,fpn,21.05.12
39,1:01.01,Carlos Esteves Almeida,fpn,28.07.13
