,Time,Name,Date
0,1:05.68,John Hencken,8/29/1972
1,1:05.43,Tom Bruce,8/30/1972
2,1:04.35,John Hencken,9/4/1973
3,1:04.02,John Hencken,9/4/1973
4,1:03.88,John Hencken,7/19/1976
5,1:03.62,John Hencken,7/19/1976
6,1:03.11,John Hencken,7/20/1976
7,1:02.93,Bill Barrett,7/29/1980
8,1:02.88,Steve Lundquist,7/29/1980
9,1:02.62,Steve Lundquist,7/19/1982
10,1:02.53,Steve Lundquist,8/21/1982
11,1:02.34,Steve Lundquist,8/6/1983
12,1:02.28,Steve Lundquist,8/17/1983
13,1:02.13,John Moffet,6/25/1984
14,1:01.65,Steve Lundquist,7/29/1984
15,1:01.49,Nelson Diebel,3/1/1992
16,1:01.40,Nelson Diebel,3/1/1992
17,1:01.40,Seth Van Neerden,8/14/1994
18,1:00.77,Jeremy Linn,7/20/1996
19,1:00.44,Ed Moses,8/10/2000
20,1:00.29,Ed Moses,3/28/2001
21,1:00.21,Ed Moses,4/4/2003
22,1:00.21,Brendan Hansen,7/22/2003
23,1:00.13,Brendan Hansen,7/7/2004
24,59.30,Brendan Hansen,7/7/2004
25,59.13,Brendan Hansen,8/1/2006
26,59.01,Mark Gangloff,7/7/2009
27,58.96,Eric Shanteau,7/26/2009
28,58.94,Kevin Cordes,6/26/2016
29,58.87,Cody Miller,8/7/2016
30,58.74,Kevin Cordes,6/30/2017
31,58.64,Kevin Cordes,7/23/2017
32,58.19,Michael Andrew,6/13/2021
33,58.14,Michael Andrew,6/13/2021
