,Time,Name,Date
0,1:54.30,Don Schollander,8/30/1968
1,1:54.30,Mark Spitz,7/12/1969
2,1:54.20,Mark Spitz,9/4/1971
3,1:53.50,Mark Spitz,9/10/1971
4,1:52.78,Mark Spitz,8/29/1972
5,1:51.66,Tim Shaw,8/23/1974
6,1:51.41,Bruce Furniss,6/18/1975
7,1:50.89,Bruce Furniss,6/18/1975
8,1:50.32,Bruce Furniss,8/21/1975
9,1:50.29,Bruce Furniss,7/19/1976
10,1:49.16,Rowdy Gaines,4/10/1980
11,1:48.93,Rowdy Gaines,7/19/1982
12,1:48.58,Mike Heath,6/25/1984
13,1:47.92,Mike Heath,6/25/1984
14,1:47.89,Matt Biondi,8/7/1985
15,1:47.72,Matt Biondi,8/8/1988
16,1:47.26,Josh Davis,8/11/2000
17,1:46.73,Josh Davis,9/18/2000
18,1:46.60,Michael Phelps,7/23/2003
19,1:45.99,Michael Phelps,8/7/2003
20,1:45.32,Michael Phelps,8/16/2004
21,1:45.20,Michael Phelps,7/24/2005
22,1:43.86,Michael Phelps,3/25/2007
23,1:42.96,Michael Phelps,8/12/2008
