,Time,Name,Date
0,9:04.00,Don Schollander,8/28/1963
1,9:03.80,Michael Wall,8/2/1964
2,9:02.70,Roy Saari,9/2/1964
3,9:00.80,Steven Krause,7/15/1965
4,8:55.40,Carl Robie,8/5/1965
5,8:48.80,Mike Burton,8/21/1967
6,8:34.30,Mike Burton,9/3/1968
7,8:28.80,Mike Burton,8/17/1969
8,8:25.86,Mike Burton,9/4/1972
9,8:21.18,Rick DeMont,9/6/1973
10,8:16.80,Tim Shaw,8/24/1974
11,8:13.68,Tim Shaw,6/21/1975
12,8:09.60,Tim Shaw,7/13/1975
13,8:01.54,Bobby Hackett,6/21/1976
14,7:59.66,Brian Goodell,7/29/1980
15,7:58.50,Tony Corbisiero,8/18/1982
16,7:58.31,Jeff Kostoff,8/3/1983
17,7:58.24,John Mykkanen,8/14/1984
18,7:52.45,Sean Killion,7/27/1987
19,7:52.05,Larsen Jensen,8/25/2002
20,7:48.09,Larsen Jensen,7/20/2003
21,7:45.63,Larsen Jensen,7/24/2005
22,7:43.60,Michael McBroom,7/31/2013
23,7:42.72,Bobby Finke,7/27/2021
24,7:41.87,Bobby Finke,7/29/2021
25,7:39.36,Bobby Finke,6/21/2022
