,Time,Name,Club,Date
0,4:51.6,Eduardo Jose de Sousa,fpn,30.08.60
1,4:42.3,Antonio Bessone Basto,fpn,01.08.63
2,4:39.5,Paulo Jose Frischknecht,sad,01.07.74
3,4:38.8,Antonio Botelho de Melo,gdlm,09.08.74
4,4:33.5,Paulo Jose Frischknecht,sad,20.07.75
5,4:28.0,Paulo Jose Frischknecht,sad,02.08.75
6,4:27.8,Antonio Botelho de Melo,fpn,05.06.76
7,4:21.5,Paulo Jose Frischknecht,fcp,14.08.76
8,4:18.01,Paulo Jose Frischknecht,sad,08.08.77
9,4:12.34,Rui Pinto Abreu,fpn,18.08.77
10,4:11.10,Paulo Jose Frischknecht,fpn,18.08.77
11,4:08.98,Jose Baltar Leite,fpn,07.04.79
12,4:07.8,Jose Baltar Leite,cfp,27.07.79
13,4:06.67,Artur Manuel Costa,fpn,01.05.87
14,4:06.24,Artur Manuel Costa,fpn,22.07.88
15,4:05.96,Artur Manuel Costa,scp,05.08.88
16,4:04.00,Artur Manuel Costa,fpn,18.08.89
17,4:03.02,Artur Manuel Costa,fpn,06.04.90
18,4:02.76,Artur Manuel Costa,fpn,09.08.90
19,4:00.36,Artur Manuel Costa,fpn,15.03.92
20,3:58.62,Artur Manuel Costa,fpn,31.05.92
21,3:58.61,Luis Miguel Monteiro,fcp,03.08.01
22,3:55.57,Luis Miguel Monteiro,fcp,10.05.02
23,3:55.56,Fernando Eurico Costa,lsc,28.07.07
24,3:55.30,Fabio Manuel Pereira,fpn,14.06.08
25,3:52.29,Jorge Manuel Maia,fpn,05.04.09
26,3:51.89,Miguel Duarte Nascimento,fpn,03.08.18
27,3.50.86,Jose Paulo Lopes,fpn,06.06.21
