,Time,Name,Club,Date
0,1:06.7,Raul Angelo Cerqueira,fpn,30.08.60
1,1:06.0,Antonio Botelho de Melo,fpn,06.06.76
2,1:05.76,Antonio Botelho de Melo,fpn,18.07.76
3,1:04.69,Antonio Botelho de Melo,fpn,21.05.77
4,1:04.13,Antonio Botelho de Melo,fpn,17.08.77
5,1:03.93,Rui Pinto Abreu,fpn,21.01.78
6,1:03.29,Rui Pinto Abreu,fpn,21.01.78
7,1:02.87,Rui Pinto Abreu,cac,08.08.78
8,1:01.84,Rui Pinto Abreu,fpn,26.05.79
9,1:01.55,Rui Pinto Abreu,fpn,26.05.79
10,1:00.62,Rui Pinto Abreu,fpn,20.07.80
11,1:00.34,Rui Pinto Abreu,fpn,23.04.81
12,0:59.76,Pedro Ferreira Soares,fpn,22.08.86
13,0:59.37,Miguel Arrobas Silva,fpn,30.07.92
14,0:59.18,Nuno Filipe Laurentino,fpn,04.04.93
15,0:58.87,Nuno Filipe Laurentino,slb,25.07.93
16,0:58.59,Nuno Filipe Laurentino,fpn,07.08.93
17,0:58.07,Nuno Filipe Laurentino,fpn,10.09.94
18,0:57.23,Nuno Filipe Laurentino,fpn,16.04.95
19,0:56.56,Nuno Filipe Laurentino,fpn,26.08.95
20,0:56.34,Alexis Manacas Santos,fpn,04.12.11
21,0:56.26,Alexis Manacas Santos,fpn,04.12.11
22,0:55.83,Pedro Diogo Oliveira,fpn,21.05.12
23,0:55.80,Pedro Diogo Oliveira,fpn,12.04.14
24,0:55.55,Pedro Diogo Oliveira,fpn,13.12.14
25,0:55.55,Pedro Diogo Oliveira,esjb,03.04.15
26,0:55.46,Pedro Diogo Oliveira,esjb,03.04.15
27,0:55.01,Gabriel Jose Lopes,aln,31.03.17
28,0:54.70,Joao Nogueira Costa,fpn,19.05.21
29,0:54.35,Francisco Rogerio Santos,fpn,25.07.21
30,0:53.88,Joao Nogueira Costa,vsg,01.04.22
31,0:53.87,Joao Nogueira Costa,fpn,16.08.22
