,Time,Name,Club,Date
0,10:22.9,Eduardo José de Sousa,fpn,02.09.60
1,10:22.1,Fernando Rosa Jorge,sad,18.08.68
2,10:18.8,Fernando Rosa Jorge,ind,29.08.71
3,10:16.8,Paulo José Frischknecht,sad,11.07.73
4,09:53.2,António Paulo Vasconcelos,cnlu,18.08.73
5,09:49.2,José Guilherme Loureiro,cdna,11.03.74
6,09:38.9,António Botelho de Melo,gdlm,10.08.74
7,09:20.5,Paulo José Frischknecht,sad,20.07.75
8,09:20.0,António Botelho de Melo,cac,22.08.75
9,09:14.34,António Botelho de Melo,fpn,19.07.76
10,09:14.01,José Baltar Leite,fpn,20.05.77
11,09:12.35,José Baltar Leite,cfp,07.08.77
12,08:54.54,José Baltar Leite,fpn,19.08.77
13,08:49.30,José Baltar Leite,cfp,06.08.78
14,08:46.41,José Baltar Leite,fpn,24.08.78
15,08:44.13,José Baltar Leite,fpn,08.04.79
16,08:39.47,José Baltar Leite,fpn,01.02.80
17,08:37.87,José Baltar Leite,fpn,16.06.80
18,08:34.49,Rui Paulo Borges,fpn,18.03.84
19,08:30.46,Artur Manuel Costa,fpn,03.05.87
20,08:23.92,Artur Manuel Costa,fpn,22.08.87
21,08:20.54,Artur Manuel Costa,fpn,02.12.90
22,08:18.90,Artur Manuel Costa,fpn,21.07.91
23,08:15.24,Artur Manuel Costa,fpn,30.07.92
24,08:14.33,Fernando Eurico Costa,fpn,20.02.04
25,08:13.78,Fernando Eurico Costa,fpn,24.04.04
26,08:12.35,Fernando Eurico Costa,fpn,25.04.04
27,08:07.83,Fernando Eurico Costa,fpn,13.04.05
28,08:06.98,Fernando Eurico Costa,fpn,26.07.05
29,08:06.44,Fernando Eurico Costa,fpn,27.03.07
30,08:05.35,Fernando Eurico Costa,lsc,29.07.07
31,8:03.80,José Paulo Lopes,fpn,07.07.19
32,8:02.16,José Paulo Lopes,scb,04.08.19
33,7:52.81,José Paulo Lopes,fpn,21.05.21
34,7:52.68,José Paulo Lopes,fpn,22.05.21
