,Time,Name,Club,Date
0,2:27.9,Antonio Bessone Basto,fpn,08.07.62
1,2:26.65,Antonio Botelho de Melo,fpn,24.07.76
2,2:24.2,Antonio Botelho de Melo,cac,12.08.76
3,2:23.32,Antonio Botelho de Melo,fpn,22.05.77
4,2:22.85,Jacob Carlos Frischknecht,fpn,29.07.78
5,2:15.23,Rui Pinto Abreu,cac,05.08.78
6,2:11.08,Rui Pinto Abreu,fpn,24.04.81
7,2:10.04,Pedro Ferreira Soares,fpn,19.08.86
8,2:09.68,Miguel Arrobas Silva,fpn,01.08.91
9,2:09.24,Miguel Arrobas Silva,fpn,01.08.91
10,2:06.88,Miguel Arrobas Silva,fpn,14.03.92
11,2:06.72,Miguel Arrobas Silva,fpn,15.03.92
12,2:06.02,Miguel Arrobas Silva,fpn,28.07.92
13,2:05.17,Nuno Filipe Laurentino,slb,22.07.93
14,2:04.85,Nuno Filipe Laurentino,fpn,07.09.94
15,2:03.81,Nuno Filipe Laurentino,fpn,24.08.95
16,2:03.46,Nuno Filipe Laurentino,fpn,24.08.95
17,2:03.00,Mario Moura Carvalho,fpn,07.07.00
18,2:02.96,Pedro Diogo Oliveira,fpn,07.07.06
19,2:02.75,Pedro Diogo Oliveira,fpn,07.07.06
20,2:02.21,Pedro Diogo Oliveira,cnrm,28.07.06
21,2:01.98,Pedro Diogo Oliveira,fpn,01.12.06
22,2:00.62,Pedro Diogo Oliveira,fpn,29.03.07
23,2:00.33,Pedro Diogo Oliveira,ind,31.03.12
24,1:59.72,Pedro Diogo Oliveira,fpn,25.05.12
25,1:58.83,Pedro Diogo Oliveira,fpn,01.08.12
26,1:58.22,Francisco Rogerio Santos,scp,28.03.21
27,1.58.03,Francisco Rogerio Santos,fpn,21.05.21
28,1:57.06,Francisco Rogerio Santos,scp,06.06.21
