,Time,Name,Club,Date
0,2:21.1,Eduardo Jose de Sousa,fpn,30.08.60
1,2:16.5,Herlander Felga Ribeiro,fpn,01.08.63
2,2:14.5,Joao Repas Goncalves,sad,24.08.68
3,2:13.1,Fernando Rosa Jorge,ind,28.08.71
4,2:11.2,Jose Gomes Pereira,sad,16.08.73
5,2:10.1,Jose Gomes Pereira,fpn,13.04.74
6,2:08.9,Jose Gomes Pereira,sad,29.06.74
7,2:07.8,Jose Gomes Pereira,fpn,19.08.74
8,2:07.0,Paulo Jose Frischknecht,sad,03.08.75
9,2:06.9,Jose Gomes Pereira,sad,24.08.75
10,2:03.03,Jose Gomes Pereira,fpn,19.07.76
11,2:02.65,Paulo Jose Frischknecht,fpn,19.07.76
12,2:02.30,Jose Gomes Pereira,fpn,21.07.76
13,2:00.57,Rui Pinto Abreu,fpn,21.05.77
14,1:57.74,Rui Pinto Abreu,fpn,17.08.77
15,1:57.40,Paulo Jose Frischknecht,fpn,17.08.77
16,1:57.27,Rui Pinto Abreu,fpn,26.03.78
17,1:57.27,Rui Pinto Abreu,cac,08.08.78
18,1:56.13,Rui Pinto Abreu,fpn,20.08.78
19,1:55.97,Rui Pinto Abreu,fpn,24.08.78
20,1:55.37,Paulo Jose Frischknecht,fpn,06.04.79
21,1:55.06,Paulo Jose Frischknecht,fpn,21.07.80
22,1:53.81,Miguel Mendonca Cabrita,fpn,03.08.93
23,1:53.09,Ricardo Conceicao Pedroso,fpn,19.08.97
24,1:52.80,Ricardo Conceicao Pedroso,fpn,06.06.98
25,1:52.69,Ricardo Conceicao Pedroso,sad,18.12.99
26,1:52.29,Ricardo Conceicao Pedroso,fpn,06.07.00
27,1:52.15,Ricardo Conceicao Pedroso,sad,30.07.00
28,1:51.57,Luis Miguel Monteiro,fcp,05.08.01
29,1:50.93,Luis Miguel Monteiro,fpn,12.04.03
30,1:50.10,Tiago Andre Venancio,cns,18.03.05
31,1:49.98,Tiago Andre Venancio,fpn,14.07.05
32,1:49.63,Tiago Andre Venancio,fpn,26.03.07
33,1:49.02,Tiago Andre Venancio,fpn,30.03.07
34,1:48.98,Luis Emanuel Vaz,gdnfama,25.07.14
35,1:48.39,Alexis Manacas Santos,scp,31.03.17
36,1:47.97,Miguel Duarte Nascimento,slb,06.04.19
